FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180218;1200;8;;;
180218;1300;8;;;
180218;1400;14;;;
180218;1500;5;;;
180218;1600;5;;;
180218;1700;11;;;
180218;1800;9;;;
180218;1900;12;;;
180218;2000;14;;;
180218;2100;15;;;
180218;2200;7;;;
180218;2300;11;;;
180219;0000;7;;;
180219;0100;5;;;
180219;0200;7;;;
180219;0300;5;;;
180219;0400;3;;;
180219;0500;23;;;
180219;0600;12;;;
180219;0700;11;;;
180219;0800;10;;;
180219;0900;11;;;
180219;1000;12;;;
180219;1100;11;;;
180219;1200;12;;;
180219;1300;11;;;
180219;1400;10;;;
180219;1500;7;;;
180219;1600;8;;;
180219;1700;9;;;
180219;1800;11;;;
180219;1900;14;;;
180219;2000;19;;;
180219;2100;16;;;
180219;2200;13;;;
180219;2300;7;;;
180220;0000;6;;;
180220;0100;5;;;
180220;0200;1;;;
180220;0300;1;;;
180220;0400;3;;;
180220;0500;4;;;
180220;0600;14;;;
180220;0700;13;;;
180220;0800;8;;;
180220;0900;7;;;
180220;1000;5;;;
180220;1100;4;;;
180220;1200;4;;;
180220;1300;8;;;
180220;1400;7;;;
180220;1500;3;;;
180220;1600;5;;;
180220;1700;7;;;
180220;1800;7;;;
180220;1900;7;;;
180220;2000;23;;;
180220;2100;39;;;
180220;2200;35;;;
180220;2300;26;;;
180221;0000;45;;;
180221;0100;20;;;
180221;0200;18;;;
180221;0300;7;;;
180221;0400;8;;;
180221;0500;7;;;
180221;0600;15;;;
180221;0700;20;;;
180221;0800;16;;;
180221;0900;13;;;
180221;1000;8;;;
180221;1100;9;;;
180221;1200;6;;;
180221;1300;7;;;
180221;1400;9;;;
180221;1500;5;;;
180221;1600;3;;;
180221;1700;7;;;
180221;1800;7;;;
180221;1900;14;;;
180221;2000;14;;;
180221;2100;24;;;
180221;2200;22;;;
180221;2300;14;;;
180222;0000;14;;;
180222;0100;7;;;
180222;0200;8;;;
180222;0300;7;;;
180222;0400;11;;;
180222;0500;7;;;
180222;0600;21;;;
180222;0700;11;;;
180222;0800;9;;;
180222;0900;10;;;
180222;1000;7;;;
180222;1100;2;;;
180222;1200;2;;;
180222;1300;5;;;
180222;1400;4;;;
180222;1500;5;;;
180222;1600;7;;;
180222;1700;4;;;
